#Network,#Country,#Region,#City,#Postal_Code
2a14:7581:3961:616c::/64,NL,NL-ZH,Zoetermeer,2718 RS
2a14:7581:3961:6c61::/64,NL,NL-NH,Amsterdam,1098 XG
2a14:7581:3961:7475::/64,NL,NL-NH,Amsterdam,1098 XG
2a14:7581:3961::/48,NL,NL-NH,Amsterdam,1098 XG
